SNOMED Procedure,Count,% of Total
Computed tomography of abdomen (procedure),231,0.06
Ultrasonography in third trimester (procedure),231,0.06
Magnetic resonance imaging of rectum (procedure),228,0.06
Ultrasound scan of lower abdomen (procedure) (420052009),227,0.06
Computerised tomography of chest with high resolution (procedure) (315941000000105),226,0.06
X-ray of lower limb for bone length measurement (procedure),225,0.06
Computed tomography of neck (procedure),224,0.06
Ultrasound scan of thyroid (procedure),222,0.06
Diagnostic radiography of facial bones (procedure),221,0.06
Endoscopy of stomach (procedure),221,0.06
Barium swallow (procedure) (168821007),220,0.06
Checking position of nasogastric tube using X-ray (procedure) (744880001),219,0.06
Colonoscopy (procedure),217,0.06
Dating/booking ultrasound scan (procedure),216,0.06
X-ray of pathological specimen (procedure) (169116004),215,0.06
Ultrasonography of right inguinal region (procedure),212,0.06
Radiography of spine (procedure) (79760008),212,0.06
Diagnostic radiography of calcaneus (procedure),212,0.06
Ultrasonography of anterior abdominal wall (procedure),210,0.06
Fluoroscopic angiography of coronary artery and insertion of stent (procedure),210,0.06
Computed tomography of kidney with contrast (procedure) (429931008),207,0.06
Checking position of nasogastric tube using X-ray (procedure),202,0.06
Maxillary occlusal X-ray (procedure) (241049001),202,0.06
Magnetic resonance imaging of neck with contrast (procedure),201,0.05
Ultrasonography to determine estimated date of confinement (procedure),200,0.05
Ultrasound scan of thyroid (procedure) (241455000),200,0.05
X-ray of upper limb using mobile image intensifier (procedure),200,0.05
Magnetic resonance imaging of liver with contrast (procedure),197,0.05
Insertion of peripherally inserted central catheter using fluoroscopic guidance (procedure),192,0.05
Doppler ultrasonography of artery of lower limb (procedure) (431323001),190,0.05
Digital tomosynthesis of right breast (procedure),187,0.05
Radiography of spine (procedure),183,0.05
Endoscopic retrograde cholangiopancreatography (procedure),180,0.05
Computed tomography of colon using intravenous contrast (procedure),178,0.05
Ultrasonography of axilla (procedure) (432635009),177,0.05
Magnetic resonance imaging of sacroiliac joints (procedure),173,0.05
X-ray of lower limb using mobile image intensifier (procedure) (432906003),170,0.05
Computed tomography angiography of lower limb artery (procedure) (419089004),170,0.05
X-ray of lumbar spine using mobile image intensifier (procedure),168,0.05
Magnetic resonance imaging of heart for assessment of myocardial viability (procedure),163,0.04
Magnetic resonance imaging angiography of head (procedure) (417936006),162,0.04
Placental localization (procedure),160,0.04
Radionuclide whole body bone study (procedure) (418832007),159,0.04
Digital tomosynthesis of left breast (procedure),158,0.04
Radionuclide imaging of perfusion of myocardium under stress and reinjection using Thallium 201 (procedure),158,0.04
X-ray of lower limb for bone length measurement (procedure) (449616006),157,0.04
Magnetic resonance imaging of thoracic spine (procedure) (241647000),156,0.04
X-ray of both feet (procedure) (426581005),156,0.04
X-ray of pathological specimen (procedure),156,0.04
Repair of fracture of lower limb bone by nailing using fluoroscopic guidance (procedure),156,0.04
Magnetic resonance imaging of knee (procedure) (241641004),154,0.04
Ultrasonography of left inguinal region (procedure),153,0.04
Magnetic resonance imaging of abdomen (procedure),151,0.04
X-ray of both knees (procedure) (426860004),151,0.04
Computed tomography of urinary tract (procedure) (419084009),151,0.04
Computed tomography angiography of lower limb artery (procedure),150,0.04
Retrograde insertion of ureteric stent using fluoroscopic guidance (procedure),150,0.04
Computed tomography of internal auditory meatus (procedure),149,0.04
Ultrasound scan of abdominal aorta (procedure) (241462009),149,0.04
Endoscopic retrograde cholangiopancreatography (procedure) (386718000),148,0.04
X-ray of fingers (procedure) (418426008),148,0.04
Single photon emission computed tomography of bone (procedure),147,0.04
Cone beam computed tomography of teeth (procedure) (905911000000100),147,0.04
Repair of fracture of lower limb bone by nailing using fluoroscopic guidance (procedure) (432076004),146,0.04
Magnetic resonance imaging of small intestine (procedure),145,0.04
Ultrasonography of wrist (procedure) (241499009),143,0.04
Magnetic resonance imaging of sacroiliac joints (procedure) (420078000),141,0.04
Computed tomography of thorax and abdomen with contrast (procedure) (429864007),140,0.04
Retrieval of intravascular foreign body using fluoroscopic guidance (procedure) (432648008),139,0.04
Computed tomography of pelvis (procedure) (169071000),138,0.04
Injection using fluoroscopic guidance (procedure) (431865004),137,0.04
Injection using ultrasound guidance (procedure),136,0.04
Ultrasonography of knee (procedure),136,0.04
Computed tomography of urinary tract with contrast (procedure) (440494008),136,0.04
Ultrasonography of knee (procedure) (241504009),136,0.04
Computed tomography of paranasal sinuses (procedure) (241526005),136,0.04
Computed tomography of kidney with contrast (procedure),136,0.04
Implantation of permanent cardiac pacemaker using fluoroscopic guidance (procedure),135,0.04
"Computed tomography of head, neck, thorax, abdomen and pelvis (procedure)",134,0.04
Multiparametric magnetic resonance imaging of prostate (procedure),133,0.04
Ultrasonography of left foot (procedure),133,0.04
Plain X-ray of patella (procedure) (168669007),133,0.04
Magnetic resonance imaging of orbit (procedure),131,0.04
Diagnostic radiography of calcaneus (procedure) (37815002),131,0.04
Radionuclide imaging of liver and/or biliary tract using tauroselcholic acid (75-Se) (procedure),131,0.04
Ultrasound elastography (procedure),130,0.04
Magnetic resonance imaging of neck with contrast (procedure) (432541008),129,0.04
Orthodontic cephalogram (procedure),127,0.03
Magnetic resonance imaging of bilateral breasts with contrast (procedure),127,0.03
X-ray of lumbar spine using mobile image intensifier (procedure) (431871005),127,0.03
Mammography of left breast (procedure) (572701000119102),126,0.03
Computed tomography angiography of aortic arch and carotid arteries (procedure) (420017001),126,0.03
Doppler ultrasonography of aorta and iliac artery (procedure),125,0.03
Diagnostic radiography of facial bones (procedure) (68306006),125,0.03
Magnetic resonance imaging of heart for assessment of myocardial viability (procedure) (931021000000101),124,0.03
Ultrasound scan of both hips (procedure) (426903000),124,0.03
Intravascular ultrasonography of coronary artery using fluoroscopic guidance (procedure) (431945005),124,0.03
Computed tomography of facial bones (procedure),124,0.03
Ultrasound scan of hip (procedure) (241502008),123,0.03
Computed tomography of head and neck (procedure),123,0.03
Skeletal X-ray of pelvis and hip (procedure) (40348008),122,0.03
Aspiration of neck using ultrasound guidance (procedure),122,0.03
Computed tomography of facial bones (procedure) (419673001),121,0.03
Ultrasonography of abdomen and renal tract (procedure) (353031000000108),121,0.03
Magnetic resonance imaging of pituitary fossa (procedure),119,0.03
Magnetic resonance imaging of right shoulder (procedure),118,0.03
Computed tomography of pelvis for radiotherapy planning (procedure) (430194000),118,0.03
Aspiration of right breast using ultrasonographic guidance (procedure),118,0.03
Magnetic resonance imaging of left ankle (procedure),117,0.03
Computed tomography of pancreas with contrast (procedure),117,0.03
Ultrasonography of right foot (procedure),117,0.03
Magnetic resonance imaging angiography of head (procedure),116,0.03
Mammography of right breast (procedure) (566571000119105),116,0.03
Radionuclide imaging of perfusion of myocardium under stress and reinjection using Thallium 201 (procedure) (440335005),115,0.03
Ultrasonography of inguinal region (procedure),114,0.03
Ultrasonography of ankle (procedure),114,0.03
Radionuclide imaging with computed tomography attenuation correction and localization (procedure),113,0.03
Computed tomography of lumbar spine (procedure),113,0.03
Magnetic resonance imaging of heart (procedure),113,0.03
Magnetic resonance imaging of neck (procedure) (72221006),112,0.03
Radioisotope scan of bone (procedure),110,0.03
Ultrasound guided biopsy (procedure),110,0.03
X-ray of teeth in oblique lateral view (procedure) (440607000),110,0.03
Non-imaging isotope study of sentinel lymph node (procedure),110,0.03
Radiography of mandible (procedure),110,0.03
Computed tomography triple phase study of kidney (procedure),109,0.03
Insertion of permanent cardiac pacemaker using fluoroscopic guidance (procedure) (431981008),109,0.03
Single photon emission computed tomography of entire skeleton (procedure) (432669005),109,0.03
Single photon emission computed tomography of bone of pelvis (procedure) (432367002),109,0.03
Injection of marker into breast using ultrasound guidance (procedure),108,0.03
Magnetic resonance imaging of small intestine (procedure) (431627008),108,0.03
Ultrasonography of left foot (procedure) (1031000087104),107,0.03
Fluoroscopy of abdomen (procedure) (303941006),107,0.03
Aspiration of left breast using ultrasonographic guidance (procedure),107,0.03
Ankle brachial pressure index (procedure),106,0.03
Magnetic resonance imaging of bilateral breasts with contrast (procedure) (427031000119100),106,0.03
Magnetic resonance imaging of abdomen (procedure) (241621009),106,0.03
Magnetic resonance imaging of whole body (procedure) (426252008),105,0.03
Magnetic resonance imaging of right ankle (procedure),104,0.03
Orthodontic cephalogram (procedure) (19961003),104,0.03
Computed tomography of chest and abdomen (procedure),104,0.03
X-ray of hip using mobile image intensifier (procedure),103,0.03
Magnetic resonance imaging of liver and biliary tract with contrast (procedure) (432633002),103,0.03
Local anesthetic block of spinal nerve root using fluoroscopic guidance (procedure),102,0.03
Magnetic resonance imaging of liver with contrast (procedure) (431839003),102,0.03
X-ray of upper limb using mobile image intensifier (procedure) (431677006),101,0.03
Repair of fracture of upper limb bone by nailing using fluoroscopic guidance (procedure),101,0.03
Ultrasound guided biopsy (procedure) (277667006),101,0.03
Ultrasonography of multiple pregnancy (procedure),100,0.03
Magnetic resonance imaging of left shoulder (procedure),100,0.03
Magnetic resonance imaging of rectum (procedure) (241629006),99,0.03
Ultrasound scan of joints of foot (procedure) (241506006),98,0.03
Magnetic resonance imaging of right hip (procedure),98,0.03
X-ray of hip using mobile image intensifier (procedure) (432848006),98,0.03
Computed tomography of thorax for radiotherapy planning (procedure) (429851006),98,0.03
Magnetic resonance imaging of breast (procedure) (241615005),97,0.03
Computed tomography of neck with contrast (procedure),97,0.03
Gated computed tomography of heart with contrast (procedure) (448431001),97,0.03
Diagnostic ultrasonography (procedure) (16310003),97,0.03
Aspiration of neck using ultrasound guidance (procedure) (432238000),96,0.03
Magnetic resonance imaging of heart with contrast (procedure),96,0.03
Positron emission tomography with computed tomography fluorodeoxyglucose F18 imaging of base of brain to mid-thigh (procedure) (725928006),96,0.03
Ultrasonography of right foot (procedure) (1041000087105),95,0.03
Doppler ultrasonography of vein of upper limb (procedure) (431818005),95,0.03
Biopsy of liver using ultrasound guidance (procedure),93,0.03
Plain X-ray of patella (procedure),93,0.03
Computed tomography of foot (procedure),93,0.03
Computed tomography of right shoulder (procedure),92,0.03
Computed tomography angiography of entire aorta with contrast (procedure),92,0.03
Skeletal X-ray of wrist and hand (procedure),92,0.03
Magnetic resonance imaging of perfusion of heart under stress (procedure),91,0.02
X-ray of thoracic and lumbar spine (procedure),91,0.02
Magnetic resonance imaging of small intestine with contrast (procedure) (864461000000104),90,0.02
Computed tomography of abdomen and pelvis (procedure) (419394006),89,0.02
Dual energy X-ray absorptiometry of spine (procedure),89,0.02
Diagnostic radiography of toes (procedure) (5846007),88,0.02
Ultrasound scan of lower leg (procedure),88,0.02
Magnetic resonance imaging of spine with contrast (procedure),88,0.02
Ultrasonography of cranial cavity (procedure) (431756003),87,0.02
Magnetic resonance imaging of pituitary fossa with contrast (procedure),87,0.02
Diagnostic radiography of skull (procedure),87,0.02
Repair of fracture of upper limb bone by nailing using fluoroscopic guidance (procedure) (432077008),86,0.02
Computed tomography of neck with contrast (procedure) (431326009),86,0.02
Fluoroscopic percutaneous transluminal angioplasty of coronary artery (procedure) (429809004),85,0.02
Ankle brachial pressure index (procedure) (401221002),85,0.02
Computed tomography of pancreas with contrast (procedure) (429873004),85,0.02
Computed tomography of left hip (procedure),85,0.02
Computerized tomography of abdomen with contrast (procedure),84,0.02
Fluoroscopic percutaneous transluminal angioplasty of coronary artery (procedure),84,0.02
Drainage procedure using ultrasound guidance (procedure),84,0.02
X-ray of hand and wrist for bone age (procedure),84,0.02
Echography of kidney (procedure) (306005),83,0.02
Injection of foot using fluoroscopic guidance (procedure),83,0.02
"Computed tomography of chest, abdomen and pelvis (procedure) (418023006)",81,0.02
Electrocardiography gated computed tomography of thorax (procedure) (858161000000109),81,0.02
Radionuclide imaging of bile acid absorption (procedure) (432548002),80,0.02
Fluoroscopy of lumbar spine (procedure) (419683002),80,0.02
Computed tomography of lumbar spine (procedure) (241580002),80,0.02
X-ray of abdomen using mobile image intensifier (procedure),80,0.02
Magnetic resonance imaging of right foot (procedure),79,0.02
Videofluoroscopy swallow (procedure),79,0.02
Computed tomography of right hip (procedure),79,0.02
Magnetic resonance imaging of left hip (procedure),79,0.02
Magnetic resonance imaging of pancreas (procedure) (241625000),78,0.02
Ultrasonography of Achilles tendon (procedure),78,0.02
Obstetric uterine artery Doppler (procedure),78,0.02
Repair of fracture of hip by nailing using fluoroscopic guidance (procedure),78,0.02
Computerized tomography of right ankle (procedure),77,0.02
Ultrasonography of pleural cavity (procedure) (431757007),77,0.02
Ureteroscopy (procedure),77,0.02
Magnetic resonance imaging of pelvis and prostate using contrast (procedure) (963511000000109),77,0.02
Magnetic resonance imaging of left foot (procedure),76,0.02
Cardiac catheterization with insertion of pressure wire using fluoroscopic guidance (procedure) (433031009),76,0.02
Ultrasound scan of parotid gland (procedure),76,0.02
Computed tomography of colon (procedure) (425666002),76,0.02
Ultrasonography of upper limb (procedure) (449921006),76,0.02
Computed tomography angiography for transcatheter aortic valve implantation planning (procedure),76,0.02
Cardiac ablation using fluoroscopy guidance (procedure) (433172009),76,0.02
Computed tomography triple phase study of liver (procedure),75,0.02
Radionuclide imaging of kidney using technetium (99m-Tc) succimer (procedure),75,0.02
Magnetic resonance imaging of left shoulder (procedure) (2581000087100),74,0.02
Magnetic resonance imaging of liver and biliary tract with contrast (procedure),74,0.02
Core needle biopsy of breast using ultrasound guidance (procedure) (432550005),74,0.02
Doppler ultrasonography of vein of upper limb (procedure),74,0.02
Core needle biopsy of axilla using ultrasound guidance (procedure),74,0.02
Ultrasonography of bilateral feet (procedure),73,0.02
Diagnostic radiography of sacroiliac joints (procedure),73,0.02
Insertion of cardiac pressure wire using fluoroscopic guidance (procedure),73,0.02
Computed tomography of petrous bones (procedure),73,0.02
Ultrasonography of ankle (procedure) (241505005),72,0.02
Computerized tomography of left ankle (procedure),72,0.02
"Computed tomography of head, neck, thorax, abdomen and pelvis with contrast (procedure) (444630003)",71,0.02
Magnetic resonance imaging study for cardiac congenital anomaly (procedure) (322731000000101),71,0.02
Magnetic resonance imaging of pituitary fossa (procedure) (241605004),71,0.02
Computed tomography of mandible (procedure),71,0.02
Transesophageal echocardiography (procedure) (105376000),71,0.02
Computed tomography of right wrist (procedure),71,0.02
Radionuclide non-imaging glomerular filtration rate estimation study (procedure),70,0.02
Radionuclide sentinel lymph node study (procedure),70,0.02
X-ray of thoracic and lumbar spine (procedure) (444634007),70,0.02
Ultrasound scan of transplant kidney (procedure) (241484009),69,0.02
Computed tomography of abdomen and pelvis with oral contrast (procedure) (726553009),69,0.02
Radiography of mandible (procedure) (19589009),68,0.02
"Computed tomography portal venography of thorax, abdomen and pelvis (procedure) (1110551000000103)",68,0.02
Diagnostic radiography of sacrum (procedure),68,0.02
Magnetic resonance imaging of whole body (procedure),67,0.02
Ultrasonography of hand and wrist (procedure) (432668002),67,0.02
Ultrasonography of craniofacial soft tissue (procedure),67,0.02
Magnetic resonance imaging of lower leg (procedure),66,0.02
Cone beam computed tomography (procedure),66,0.02
Endoscopy of large intestine (procedure),65,0.02
Magnetic resonance imaging of orbit (procedure) (30957007),65,0.02
Computed tomography of right knee (procedure),65,0.02
Dating/booking ultrasound scan (procedure) (169229007),65,0.02
Computed tomography of left wrist (procedure),65,0.02
Magnetic resonance imaging of spine with contrast (procedure) (431985004),65,0.02
Intravascular ultrasonography of coronary artery using fluoroscopic guidance (procedure),65,0.02
Fluoroscopic angiography of cerebral artery (procedure) (419364000),64,0.02
X-ray of both ankles (procedure),64,0.02
Radiographic imaging of toe (procedure) (785849002),64,0.02
Injection of shoulder using ultrasound guidance (procedure),64,0.02
Maxillary occlusal X-ray (procedure),64,0.02
Radionuclide imaging with computed tomography attenuation correction (procedure) (443579008),63,0.02
Exercise stress ultrasonography of heart with contrast (procedure) (433862009),63,0.02
Magnetic resonance imaging of left wrist (procedure),63,0.02
