SNOMED Procedure,Count,% of Total,Cumulative %
Ultrasonography in first trimester (procedure),888,0.24,67.33000000000004
Mammography (procedure) (71651007),885,0.24,67.57000000000004
Plain X-ray of scaphoid (procedure),876,0.24,67.81000000000003
Diagnostic radiography of abdomen (procedure) (60654006),866,0.24,68.05000000000003
Transvaginal and transabdominal ultrasonography of pelvis (procedure) (826601000000101),865,0.24,68.29000000000002
Magnetic resonance imaging of head with contrast (procedure) (432874000),845,0.23,68.52000000000002
Radiography of cervical spine (procedure),831,0.23,68.75000000000003
Computed tomography of urinary tract (procedure),828,0.23,68.98000000000003
Magnetic resonance imaging of head with contrast (procedure),817,0.22,69.20000000000003
Computed tomography of thorax with contrast (procedure),815,0.22,69.42000000000003
Plain X-ray of femur (procedure),815,0.22,69.64000000000003
Magnetic resonance imaging of spine (procedure),810,0.22,69.86000000000003
Magnetic resonance imaging of cervical spine (procedure),805,0.22,70.08000000000003
X-ray of right ankle (procedure) (426721006),783,0.21,70.29000000000002
Ultrasonography of liver (procedure) (105377009),763,0.21,70.50000000000001
X-ray of left ankle (procedure) (426420006),751,0.2,70.70000000000002
Computerised tomography of chest with high resolution (procedure),744,0.2,70.90000000000002
Thumb X-ray (procedure) (241074003),732,0.2,71.10000000000002
Computed tomography of urinary tract with contrast (procedure),727,0.2,71.30000000000003
Diagnostic radiography of lumbar spine (procedure) (90805008),720,0.2,71.50000000000003
Dual energy X-ray photon absorptiometry (procedure) (241686001),710,0.19,71.69000000000003
Radiography of humerus (procedure),706,0.19,71.88000000000002
Radiography of thoracic spine (procedure),696,0.19,72.07000000000002
Fetal anatomy study (procedure) (271442007),690,0.19,72.26000000000002
Magnetic resonance imaging of cervical spine (procedure) (241646009),683,0.19,72.45000000000002
Ultrasonography of abdomen and renal tract (procedure),682,0.19,72.64000000000001
X-ray of left foot (procedure) (426908009),681,0.19,72.83000000000001
Transthoracic echocardiography (procedure),666,0.18,73.01000000000002
X-ray of right foot (procedure) (426311001),666,0.18,73.19000000000003
Ultrasound scan of neck (procedure) (241453007),648,0.18,73.37000000000003
Carotid artery doppler assessment (procedure),643,0.18,73.55000000000004
Tibia and/or fibula X-ray (procedure) (241076001),629,0.17,73.72000000000004
Ultrasound scan of upper abdomen (procedure) (418398002),617,0.17,73.89000000000004
X-ray of fingers (procedure),616,0.17,74.06000000000004
Radiography of forearm (procedure),614,0.17,74.23000000000005
Ultrasound scan of hand (procedure),607,0.17,74.40000000000005
Computerized axial tomography of kidney (procedure) (55501000),594,0.16,74.56000000000004
X-ray of both feet (procedure),590,0.16,74.72000000000004
Magnetic resonance cholangiopancreatography (procedure),588,0.16,74.88000000000004
